이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전TAB_COMMENTS	TAB_COMMENTS_수정	이전COLUMN_NAME	환경부표준	이전COL_COMMENTS	COL_COMMENTS수정	DATA_TYPE	DATA_TYPE_수정	DATA_LENGTH	DATA_LENGTH_수정	NULLABLE	도메인논리명	도메인그룹명


TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	LEGACY_CODE_NO	BRNCH_NO	지점번호	지점번호	VARCHAR2	VARCHAR2	10	10	N	번호_V10	번호
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	SPOT_STD_CODE	BRNCH_STD_CD	지점표준코드	지점표준코드	VARCHAR2	VARCHAR2	15	20	N	명_V20	명
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	YYYY	YR	년	연도	VARCHAR2	VARCHAR2	4	4	Y	년도_V4	날짜/시간
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	PERIOD	QTR	분기	분기	VARCHAR2	VARCHAR2	4	10	N	분기_V10	날짜/시간
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	INSP_CHECK	INSP_YN	검사여부	검사여부	VARCHAR2	VARCHAR2	10	20	N	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	UN_INSP_DESC	UN_INSP_RSN	미검사사유	미검사사유	VARCHAR2	VARCHAR2	500	500	N	내용_V500	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ACCEPT_YN	STBLT_YN	적합여부	적합여부	VARCHAR2	VARCHAR2	10	10	Y	내용_V10	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	SUIT	STBLT	적합	적합	VARCHAR2	VARCHAR2	4	10	N	내용_V10	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	UNSUIT	ICPT	부적합	부적합	VARCHAR2	VARCHAR2	4	10	N	내용_V10	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_GENBACLOW	GNRL_GERM_LOWTMP	일반세균저온(CFU/mL)	일반세균저온	VARCHAR2	VARCHAR2	25	20	N	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_GENBACMID	GNRL_GERM_MESPH	일반세균중온(CFU/mL)	일반세균중온	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_TOTBAC	CFBCTR	총대장균군(mL)	총대장균군	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
