NEW_TABLE_NAME	11자리TABLE_NAME	이전TAB_COMMENTS	TAB_COMMENTS_수정	이전COLUMN_NAME	환경부표준	이전COL_COMMENTS	COL_COMMENTS수정	DATA_TYPE	DATA_TYPE_수정	DATA_LENGTH	DATA_LENGTH_수정	NULLABLE	도메인논리명	도메인그룹명


TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	QLTWTR_INSPCT_SN	WQ_INSP_SN	수질검사일련번호	수질검사일련번호	NUMBER	NUMBER	22	10	N	번호_N10	번호
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	GENNUM	GWEL_NO	관정번호	관정번호	NUMBER	NUMBER	22	22	N	관정번호_N22	번호
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	INVSTG_YEAR	EXMN_YR	조사년도	조사연도	VARCHAR2	VARCHAR2	4	4	Y	연도C4	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	ODR	CYCL	차수	주기	NUMBER	NUMBER	22	10	Y	값_N10	수량
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	DPH_CL_CODE	DPH_CLSF_CD	심도분류코드	심도분류코드	VARCHAR2	CHAR	1	1	Y	심도분류코드_C1	분류
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	DPH_VALUE	DPH_VL	심도값	심도값	NUMBER	NUMBER	22	10	Y	값_N10	수량
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	WATSMP_DE	WTSMP_YMD	채수일자	채수일자	VARCHAR2	VARCHAR2	8	8	Y	일_VC8	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	QLTWTR_INSPCT_DE	WQ_INSP_YMD	수질검사일자	수질검사일자	VARCHAR2	VARCHAR2	8	8	Y	일_VC8	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	DTA_INPUT_DE	DATA_INPT_YMD	자료입력일자	자료입력일자	VARCHAR2	VARCHAR2	8	8	Y	일_VC8	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	DCSN_DE	CFMTN_YMD	확정일자	확정일자	VARCHAR2	VARCHAR2	8	8	Y	일_VC8	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	FRST_REGIST_DT	FRST_REG_DT	최초등록일시	최초등록일시	DATE	DATE	7	14	Y	연월일시분초D	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	LAST_CHANGE_DT	LAST_CHG_DT	최종변경일시	최종변경일시	DATE	DATE	7	14	Y	연월일시분초D	날짜/시간
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	UGRWTR_PRPOS_CODE	UGWTR_USG_CD	지하수용도코드	지하수용도코드	VARCHAR2	CHAR	2	2	Y	지하수용도코드_C2	분류
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	DRNK_AT	DKPP_YN	음용여부	음용여부	VARCHAR2	CHAR	1	1	Y	여부_C1	분류
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	UGRWTR_WQN_INPUT_INSTT_CODE	UGWTR_WQMN_INPT_INST_CD	지하수수질측정망입력기관코드	지하수수질측정망입력기관코드	VARCHAR2	VARCHAR2	5	5	Y	지하수수질측정망입력기관코드_V5	분류
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	QLTWTR_INSPCT_IMPRTY_RESN_CTNT	WQ_INSP_IMPS_RSN_CN	수질검사불가사유내용	수질검사불가사유내용	VARCHAR2	VARCHAR2	4000	4000	Y	내용_V4000	내용
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	BRTC_NM	CTPV_NM	시도명	시도명	VARCHAR2	VARCHAR2	40	40	Y	명_V40	명
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	SIGUN_NM	SGG_NM	시군구명	시군구명	NVARCHAR2	VARCHAR2	1016	30	Y	명_V30	명
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	EMD_NM	EMD_NM	읍면동명	읍면동명	VARCHAR2	VARCHAR2	40	30	Y	명_V30	명
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	LI_NM	LI_NM	리명	리명	VARCHAR2	VARCHAR2	40	40	Y	명_V40	명
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	ADDR	ADDR	주소	주소	VARCHAR2	VARCHAR2	1000	250	Y	내용_V250	내용
TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	PUBWELL_AT	PUB_GWEL_YN	공공관정여부	공공관정여부	VARCHAR2	CHAR	1	1	Y	여부_C1	분류
