이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전TAB_COMMENTS	TAB_COMMENTS_수정	이전COLUMN_NAME	환경부표준	이전COL_COMMENTS	COL_COMMENTS수정	DATA_TYPE	DATA_TYPE_수정	DATA_LENGTH	DATA_LENGTH_수정	NULLABLE	도메인논리명	도메인그룹명


WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	REL_TRANS_	LINK_TRSM_SGG_CD	연관전송시군구코드	연계전송시군구코드	NVARCHAR2	VARCHAR2	1016	7	Y	자치단체코드_V7	분류
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	PERM_NT_NO	PRMSN_DCLR_NO	허가신고번호	허가신고번호	NVARCHAR2	VARCHAR2	508	30	Y	허가신고번호_V30	번호
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	PERM_NT_FO	PRMSN_DCLR_FRM_CD	허가신고형태	허가신고형태코드	NVARCHAR2	CHAR	1016	1	Y	허가신고분류코드_C1	분류
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	YY_GBN	YR_SE	년도구분	연도구분	NVARCHAR2	CHAR	508	4	Y	연도C4	날짜/시간
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	REGNCODE	RGN_CD	지역코드	지역코드	NVARCHAR2	VARCHAR2	508	10	Y	법정동코드_V10	분류
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	BRTC_NM	CTPV_NM	시도명	시도명	NVARCHAR2	VARCHAR2	508	40	Y	명_V40	명
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	SIGUN_NM	SGG_NM	시군명	시군구명	NVARCHAR2	VARCHAR2	1016	40	Y	명_V40	명
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	EMD_NM	EMD_NM	읍면동명	읍면동명	NVARCHAR2	VARCHAR2	508	30	Y	명_V30	명
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	LI_NM	LI_NM	리명	리명	NVARCHAR2	NVARCHAR2	508	40	Y	명_V40	명
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	SAN	MTN	산여부	산	NVARCHAR2	CHAR	508	1	Y	여부_C1	분류
WT_DREAM_PERMWELL_PUBLIC	TM_GD32002	TM_GD112002	드림서비스 공공관정 정보	드림서비스_공공관정	BUNJI	BNJ	번지	번지	NVARCHAR2	VARCHAR2	508	20	Y	내용_V20	내용
