OWNER	일련번호	TABLE_NAME	TAB_COMMENTS	COLUMN_NAME	COL_COMMENTS	DATA_TYPE	DATA_LENGTH	NULLABLE	구분
NGW	1	AREA_TMP	행정구역면적(2020)	BRTC_NM	시도명	VARCHAR2	40	Y	사용
NGW	2	AREA_TMP	행정구역면적(2020)	SIGUN_NM	시군구명	NVARCHAR2	1016	Y	사용
NGW	3	AREA_TMP	행정구역면적(2020)	S_AREA	면적합계(m2)	VARCHAR2	26	Y	사용
NGW	4	AREA_TMP	행정구역면적(2020)	C_AREA	도시지역	VARCHAR2	26	Y	사용
NGW	5	AREA_TMP	행정구역면적(2020)	N_AREA	비도시지역	VARCHAR2	26	Y	사용
NGW	6	AREA_TMP	행정구역면적(2020)	K_AREA	면적(km2)	VARCHAR2	20	Y	사용
NGW	7	AVG_PM_GD60201		RESULT_ID		NUMBER	22	N	사용하지않음
NGW	8	AVG_PM_GD60201		OBSR_DD		VARCHAR2	10	Y	사용하지않음
NGW	9	AVG_PM_GD60201		AVG_VALUE		NUMBER	22	Y	사용하지않음
NGW	10	COMPET_PARTCPTN	공모전참가자	SN	일련번호	NUMBER	22	N	추가
NGW	11	COMPET_PARTCPTN	공모전참가자	WRITER_NM	작성자이름	VARCHAR2	100	N	추가
NGW	12	COMPET_PARTCPTN	공모전참가자	PHON_NO	휴대폰번호	VARCHAR2	20	N	추가
NGW	13	COMPET_PARTCPTN	공모전참가자	EMAIL	이메일	VARCHAR2	100	Y	추가
NGW	14	COMPET_PARTCPTN	공모전참가자	CTNT	내용	VARCHAR2	4000	Y	추가
NGW	15	COMPET_PARTCPTN	공모전참가자	LUCK_NO	응모번호	VARCHAR2	20	Y	추가
NGW	16	COMPET_PARTCPTN	공모전참가자	REGIST_DT	등록일시	DATE	7	Y	추가
NGW	17	COMPET_PARTCPTN	공모전참가자	ORGINL_FILE_NM	원본파일명	VARCHAR2	1000	Y	추가
NGW	18	COMPET_PARTCPTN	공모전참가자	SAVE_FILE_NM	저장파일명	VARCHAR2	1000	Y	추가
NGW	19	COMPET_PARTCPTN	공모전참가자	FILE_SIZE	파일사이즈	NUMBER	22	Y	추가
NGW	20	COMPET_PARTCPTN	공모전참가자	FILE_EXTSNM	파일확장자명	VARCHAR2	10	Y	추가
NGW	21	COMPET_PARTCPTN	공모전참가자	ORGINL_FILE_NM2	원본파일명2	VARCHAR2	1000	Y	추가
NGW	22	COMPET_PARTCPTN	공모전참가자	SAVE_FILE_NM2	저장파일명2	VARCHAR2	1000	Y	추가
NGW	23	COMPET_PARTCPTN	공모전참가자	FILE_SIZE2	파일사이즈2	NUMBER	22	Y	추가
NGW	24	COMPET_PARTCPTN	공모전참가자	FILE_EXTSNM2	파일확장자명2	VARCHAR2	10	Y	추가
NGW	25	COMPET_PARTCPTN	공모전참가자	PASSWD	응모자비번	VARCHAR2	500	Y	추가
NGW	26	COMPET_PARTCPTN	공모전참가자	ORGINL_FILE_NM3	원본파일명3	VARCHAR2	1000	Y	추가
NGW	27	COMPET_PARTCPTN	공모전참가자	SAVE_FILE_NM3	저장파일명3	VARCHAR2	1000	Y	추가
