"SN","UGWTR_COM_CD","CD_CN","REG_DT","MDFCN_DT","GROUP_CD_SN","DEL_YMD","USE_YN","ANNLS_USE_YN","CD_ABBR","SORT_NO","RGTR"
1946,"03",농어업용,2023-08-29 12:45:16.000,,NGW_0003,,Y,Y,,0,
1945,"02",공업용,2023-08-29 12:45:16.000,,NGW_0003,,Y,Y,,0,
1944,"01",생활용,2023-08-29 12:45:16.000,,NGW_0003,,Y,Y,,0,
1947,"04",기타용,2023-08-29 12:45:16.000,,NGW_0003,,Y,Y,,0,
145,"14",민방위용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
146,"15",국군용,2019-03-04 13:56:56.000,,NGW_0013,,Y,N,,0,
147,"17",마을상수도,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
148,"18",상수도,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
149,"19",농업생활겸용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
150,"10",기타,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,1,
151,"21",국가공단,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,2,
152,"23",농공단지,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,2,
153,"24",자유입지업체,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,2,
154,"31",전작용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,4,
155,"32",답작용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,4,
156,"33",원예용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,4,
157,"34",수산업,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,4,
158,"35",축산업,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,4,
159,"36",양어장용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,4,
160,"30",기타,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,5,
161,"42",먹는샘물,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,6,
162,"40",기타,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,7,
1738,"43",생활공업겸용,2019-07-10 11:09:52.000,,NGW_0013,,Y,N,,0,
1739,"44",생활농업겸용,2019-07-10 11:10:53.000,,NGW_0013,,Y,N,,0,
1740,"45",농업공업겸용,2019-07-10 11:10:53.000,,NGW_0013,,Y,N,,0,
1741,"46",청소용,2019-07-10 11:10:53.000,,NGW_0013,,Y,N,,0,
1743,"48",소방용,2019-07-10 11:10:54.000,,NGW_0013,,Y,N,,0,
1744,"49",공사용,2019-07-10 11:10:54.000,,NGW_0013,,Y,N,,0,
1745,"50",지열냉난방,2019-07-10 11:10:54.000,,NGW_0013,,Y,N,,0,
2325,"47",조경용,2019-07-10 11:10:53.000,,NGW_0013,,Y,N,,0,
2097,"16",공동주택용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
2098,"22",지방공단,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,2,
2506,"20",기타,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,3,
144,"13",학교용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
143,"12",일반용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
2509,"41",온천수,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,6,
357,"51",관측용,2020-01-21 11:56:04.000,,NGW_0013,,Y,N,,0,
142,"11",가정용,2019-03-04 13:56:56.000,,NGW_0013,,Y,Y,,0,
