"SN","STDG_CD","CTPV_NM","SGG_NM","EMD_NM","LI_NM","SORT_NO","CRT_YMD","DEL_YMD","LCLGV_CD","CTPV_ENG_NM","SGG_ENG_NM","EMD_ENG_NM","LI_ENG_NM"
15650,"5000000000",제주특별자치도,,,,50,"20060701",,"6500000",Jeju Special Self-Governing Province,,,
15870,"5011000000",제주특별자치도,제주시,,,10,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,JJ-JJU,
15871,"5011010100",제주특별자치도,제주시,일도일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ildo 1(il)-dong,
15872,"5011010200",제주특별자치도,제주시,일도이동,,2,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ildo 2(i)-dong,
15873,"5011010300",제주특별자치도,제주시,이도일동,,3,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ido 1(il)-dong,
15874,"5011010400",제주특별자치도,제주시,이도이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ido 2(I)-dong,
15875,"5011010500",제주특별자치도,제주시,삼도일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Samdo 1(il)-dong,
15876,"5011010600",제주특별자치도,제주시,삼도이동,,6,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Samdo 2(i)-dong,
15877,"5011010700",제주특별자치도,제주시,건입동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Geonip-dong,
15878,"5011010800",제주특별자치도,제주시,용담일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Yongdam 1(il)-dong,
15879,"5011010900",제주특별자치도,제주시,용담이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Yongdam 2(i)-dong,
15880,"5011011000",제주특별자치도,제주시,용담삼동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Yongdam 3(sam)-dong,
12739,"5011011800",제주특별자치도,제주시,아라이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ara 2(i)-dong,
14917,"5011011100",제주특별자치도,제주시,화북일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Hwabuk 1(il)-dong,
14918,"5011011200",제주특별자치도,제주시,화북이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Hwabuk 2(i)-dong,
14919,"5011011300",제주특별자치도,제주시,삼양일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Samyang 1(il)-dong,
15118,"5011011400",제주특별자치도,제주시,삼양이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Samyang 2(i)-dong,
12736,"5011011500",제주특별자치도,제주시,삼양삼동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Samyang 3(sam)-dong,
12737,"5011011600",제주특별자치도,제주시,봉개동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Bonggae-dong,
12738,"5011011700",제주특별자치도,제주시,아라일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ara 1(il)-dong,
12740,"5011011900",제주특별자치도,제주시,오라일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ora 1(il)-dong,
12741,"5011012000",제주특별자치도,제주시,오라이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ora 2(i)-dong,
12742,"5011012100",제주특별자치도,제주시,오라삼동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Ora 3(sam)-dong,
12743,"5011012200",제주특별자치도,제주시,노형동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Nohyeong-dong,
12744,"5011012300",제주특별자치도,제주시,외도일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Oedo 1(il)-dong,
15752,"5011012700",제주특별자치도,제주시,도두일동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Dodu 1(il)-dong,
15749,"5011012400",제주특별자치도,제주시,외도이동,,1,"20060701",,"6510000",Jeju Special Self-Governing Province,Jeju-si,Oedo 2(i)-dong,
