나라장터 테이블


일련번호	이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전TAB_COMMENTS	TAB_COMMENTS_수정	이전COLUMN_NAME	환경부표준	이전COL_COMMENTS	COL_COMMENTS수정	DATA_TYPE	DATA_TYPE_수정	DATA_LENGTH	DATA_LENGTH_수정	NULLABLE	도메인논리명	도메인그룹명


3702	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	TYPE	TYPE	유형	유형	VARCHAR2	VARCHAR2	100	100	Y	내용_V100	내용
3703	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	BIDNTCENO	BID_PBANC_NO	입찰공고번호	입찰공고번호	VARCHAR2	VARCHAR2	100	100	Y	내용_V100	내용
3704	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	BIDNTCENM	BID_PBANC_NM	입찰공고명	입찰공고명	VARCHAR2	VARCHAR2	1000	1000	Y	내용_V1000	내용
3705	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	DMINSTTNM	DMD_INST_NM	수요기관명	수요기관명	VARCHAR2	VARCHAR2	100	200	Y	명_V200	명
3706	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	BIDCLSEDT	BID_DDLN_DT	입찰마감일시	입찰마감일시	VARCHAR2	VARCHAR2	100	100	Y	내용_V100	내용
3707	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	BIDNTCEDTLURL	BID_PBANC_DTL_LNKG	입찰공고상세링크	입찰공고상세연결	VARCHAR2	VARCHAR2	1000	1000	Y	내용_V1000	내용
3708	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	USE_YN	USE_YN	사용여부	사용여부	CHAR	CHAR	1	1	Y	여부_C1	분류
3709	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	INSERTDATE	REG_YMD	등록일자	등록일자	DATE	VARCHAR2	7	8	Y	일_VC8	날짜/시간
3710	TM_NARA_API	TM_GD24000	TM_GD014000	나라장터 공고 수집 API 연계	나라장터_공고수집API	SN	SN	일련번호	일련번호	NUMBER	NUMBER	22	22	N	일련번호_N22	번호
